Time (hr),Temperature (°c),Forecast (°c),Rain (mm),Rain (%),Cloud (%),Pressure (mb),Wind (km/h),Gust (km/h),Direction (deg),Moonrise (hr),Moonset (hr),Sunrise (hr),Sunset (hr),Weather,Date,Moonrise (min),Moonset (min),Sunrise (min),Sunset (min),Season
18,25,27,0.0,0.0,73.0,1011.0,18.0,25.0,219.8,11:03 AM,11:19 PM,06:40 AM,07:04 PM,Patchy rain possible,2022-08-03,663.0,1399.0,400,1144,wet
21,25,27,0.0,0.0,85.0,1013.0,17.0,24.0,224.7,11:03 AM,11:19 PM,06:40 AM,07:04 PM,Patchy rain possible,2022-08-03,663.0,1399.0,400,1144,wet
0,24,26,0.0,0.0,87.0,1015.0,17.0,26.0,220.9,10:17 AM,10:38 PM,06:40 AM,07:04 PM,Patchy rain possible,2022-08-02,617.0,1358.0,400,1144,wet
3,24,26,0.0,0.0,88.0,1013.0,17.0,25.0,232.6,10:17 AM,10:38 PM,06:40 AM,07:04 PM,Patchy rain possible,2022-08-02,617.0,1358.0,400,1144,wet
6,24,26,0.0,0.0,75.0,1014.0,14.0,22.0,248.9,10:17 AM,10:38 PM,06:40 AM,07:04 PM,Patchy rain possible,2022-08-02,617.0,1358.0,400,1144,wet
9,25,27,0.1,100.0,86.0,1016.0,14.0,24.0,255.0,10:17 AM,10:38 PM,06:40 AM,07:04 PM,Patchy rain possible,2022-08-02,617.0,1358.0,400,1144,wet
12,27,30,0.1,100.0,85.0,1015.0,17.0,27.0,247.0,10:17 AM,10:38 PM,06:40 AM,07:04 PM,Patchy rain possible,2022-08-02,617.0,1358.0,400,1144,wet
15,27,29,0.0,0.0,78.0,1012.0,21.0,26.0,225.7,10:17 AM,10:38 PM,06:40 AM,07:04 PM,Patchy rain possible,2022-08-02,617.0,1358.0,400,1144,wet
18,26,28,0.0,0.0,58.0,1012.0,21.0,28.0,224.4,10:17 AM,10:38 PM,06:40 AM,07:04 PM,Patchy rain possible,2022-08-02,617.0,1358.0,400,1144,wet
21,25,27,0.0,0.0,59.0,1014.0,18.0,26.0,223.1,10:17 AM,10:38 PM,06:40 AM,07:04 PM,Patchy rain possible,2022-08-02,617.0,1358.0,400,1144,wet
0,25,27,0.1,100.0,96.0,1015.0,20.0,30.0,228.2,09:32 AM,09:59 PM,06:40 AM,07:04 PM,Moderate rain at times,2022-08-01,572.0,1319.0,400,1144,wet
3,24,26,0.3,100.0,100.0,1013.0,18.0,27.0,241.8,09:32 AM,09:59 PM,06:40 AM,07:04 PM,Moderate rain at times,2022-08-01,572.0,1319.0,400,1144,wet
6,24,26,0.6,100.0,94.0,1014.0,17.0,25.0,248.0,09:32 AM,09:59 PM,06:40 AM,07:04 PM,Moderate rain at times,2022-08-01,572.0,1319.0,400,1144,wet
9,25,27,0.1,100.0,98.0,1015.0,18.0,29.0,241.1,09:32 AM,09:59 PM,06:40 AM,07:04 PM,Moderate rain at times,2022-08-01,572.0,1319.0,400,1144,wet
12,26,29,0.9,100.0,88.0,1015.0,20.0,31.0,225.9,09:32 AM,09:59 PM,06:40 AM,07:04 PM,Moderate rain at times,2022-08-01,572.0,1319.0,400,1144,wet
15,26,29,0.1,100.0,100.0,1013.0,23.0,33.0,224.4,09:32 AM,09:59 PM,06:40 AM,07:04 PM,Moderate rain at times,2022-08-01,572.0,1319.0,400,1144,wet
18,25,27,0.0,0.0,86.0,1012.0,23.0,34.0,224.8,09:32 AM,09:59 PM,06:40 AM,07:04 PM,Moderate rain at times,2022-08-01,572.0,1319.0,400,1144,wet
21,25,27,0.0,0.0,100.0,1014.0,19.0,28.0,229.2,09:32 AM,09:59 PM,06:40 AM,07:04 PM,Moderate rain at times,2022-08-01,572.0,1319.0,400,1144,wet
0,24,26,0.0,0.0,47.0,1015.0,15.0,23.0,248.0,08:46 AM,09:19 PM,06:40 AM,07:05 PM,Heavy rain at times,2022-07-31,526.0,1279.0,400,1145,wet
3,24,26,0.2,100.0,96.0,1014.0,15.0,23.0,252.8,08:46 AM,09:19 PM,06:40 AM,07:05 PM,Heavy rain at times,2022-07-31,526.0,1279.0,400,1145,wet
6,24,26,0.1,100.0,100.0,1014.0,16.0,24.0,251.7,08:46 AM,09:19 PM,06:40 AM,07:05 PM,Heavy rain at times,2022-07-31,526.0,1279.0,400,1145,wet
9,25,27,0.0,0.0,100.0,1016.0,18.0,28.0,250.5,08:46 AM,09:19 PM,06:40 AM,07:05 PM,Heavy rain at times,2022-07-31,526.0,1279.0,400,1145,wet
12,27,29,0.2,100.0,100.0,1015.0,19.0,30.0,249.7,08:46 AM,09:19 PM,06:40 AM,07:05 PM,Heavy rain at times,2022-07-31,526.0,1279.0,400,1145,wet
15,27,29,0.5,100.0,83.0,1012.0,20.0,28.0,237.1,08:46 AM,09:19 PM,06:40 AM,07:05 PM,Heavy rain at times,2022-07-31,526.0,1279.0,400,1145,wet
18,26,28,0.1,100.0,89.0,1012.0,23.0,32.0,227.6,08:46 AM,09:19 PM,06:40 AM,07:05 PM,Heavy rain at times,2022-07-31,526.0,1279.0,400,1145,wet
21,25,27,0.0,0.0,87.0,1014.0,21.0,30.0,236.2,08:46 AM,09:19 PM,06:40 AM,07:05 PM,Heavy rain at times,2022-07-31,526.0,1279.0,400,1145,wet
0,24,26,0.0,0.0,85.0,1016.0,10.0,16.0,236.9,08:00 AM,08:37 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-30,480.0,1237.0,400,1145,wet
3,24,26,0.0,0.0,66.0,1014.0,10.0,15.0,269.3,08:00 AM,08:37 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-30,480.0,1237.0,400,1145,wet
6,24,26,0.0,0.0,36.0,1014.0,10.0,16.0,250.4,08:00 AM,08:37 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-30,480.0,1237.0,400,1145,wet
9,25,27,0.0,0.0,59.0,1016.0,13.0,21.0,269.7,08:00 AM,08:37 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-30,480.0,1237.0,400,1145,wet
12,26,28,0.2,100.0,75.0,1016.0,13.0,23.0,301.0,08:00 AM,08:37 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-30,480.0,1237.0,400,1145,wet
15,25,27,0.0,0.0,24.0,1014.0,14.0,22.0,262.6,08:00 AM,08:37 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-30,480.0,1237.0,400,1145,wet
18,25,27,0.0,0.0,55.0,1013.0,14.0,22.0,230.4,08:00 AM,08:37 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-30,480.0,1237.0,400,1145,wet
21,25,26,0.0,0.0,26.0,1014.0,11.0,23.0,249.1,08:00 AM,08:37 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-30,480.0,1237.0,400,1145,wet
0,24,26,0.0,0.0,70.0,1014.0,13.0,24.0,238.2,07:11 AM,07:55 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-29,431.0,1195.0,400,1145,wet
3,24,26,0.1,100.0,76.0,1013.0,15.0,24.0,232.9,07:11 AM,07:55 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-29,431.0,1195.0,400,1145,wet
6,24,26,0.0,0.0,61.0,1014.0,15.0,25.0,239.1,07:11 AM,07:55 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-29,431.0,1195.0,400,1145,wet
9,24,26,0.0,0.0,58.0,1016.0,15.0,30.0,246.9,07:11 AM,07:55 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-29,431.0,1195.0,400,1145,wet
12,25,28,0.3,100.0,58.0,1016.0,17.0,33.0,248.7,07:11 AM,07:55 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-29,431.0,1195.0,400,1145,wet
15,26,28,0.1,100.0,56.0,1014.0,15.0,29.0,251.6,07:11 AM,07:55 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-29,431.0,1195.0,400,1145,wet
18,25,28,0.0,0.0,91.0,1014.0,15.0,27.0,242.7,07:11 AM,07:55 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-29,431.0,1195.0,400,1145,wet
21,24,26,0.0,0.0,50.0,1015.0,13.0,21.0,246.2,07:11 AM,07:55 PM,06:40 AM,07:05 PM,Patchy rain possible,2022-07-29,431.0,1195.0,400,1145,wet
0,25,27,0.0,0.0,79.0,1013.0,21.0,31.0,232.3,06:21 AM,07:09 PM,06:40 AM,07:05 PM,Moderate rain at times,2022-07-28,381.0,1149.0,400,1145,wet
3,24,27,0.3,100.0,91.0,1011.0,20.0,30.0,249.3,06:21 AM,07:09 PM,06:40 AM,07:05 PM,Moderate rain at times,2022-07-28,381.0,1149.0,400,1145,wet
6,24,27,0.3,100.0,100.0,1012.0,18.0,27.0,247.0,06:21 AM,07:09 PM,06:40 AM,07:05 PM,Moderate rain at times,2022-07-28,381.0,1149.0,400,1145,wet
9,25,27,0.1,100.0,100.0,1014.0,18.0,27.0,252.2,06:21 AM,07:09 PM,06:40 AM,07:05 PM,Moderate rain at times,2022-07-28,381.0,1149.0,400,1145,wet
12,25,28,0.4,100.0,100.0,1014.0,22.0,39.0,243.1,06:21 AM,07:09 PM,06:40 AM,07:05 PM,Moderate rain at times,2022-07-28,381.0,1149.0,400,1145,wet
15,25,27,0.2,100.0,100.0,1012.0,20.0,27.0,239.9,06:21 AM,07:09 PM,06:40 AM,07:05 PM,Moderate rain at times,2022-07-28,381.0,1149.0,400,1145,wet
18,25,27,0.0,0.0,67.0,1013.0,15.0,28.0,230.9,06:21 AM,07:09 PM,06:40 AM,07:05 PM,Moderate rain at times,2022-07-28,381.0,1149.0,400,1145,wet
21,24,26,0.0,0.0,75.0,1015.0,15.0,22.0,256.8,06:21 AM,07:09 PM,06:40 AM,07:05 PM,Moderate rain at times,2022-07-28,381.0,1149.0,400,1145,wet
0,25,27,0.0,0.0,97.0,1014.0,19.0,23.0,240.5,05:30 AM,06:21 PM,06:39 AM,07:05 PM,Moderate or heavy rain shower,2022-07-27,330.0,1101.0,399,1145,wet
3,24,27,0.1,100.0,100.0,1012.0,18.0,21.0,243.9,05:30 AM,06:21 PM,06:39 AM,07:05 PM,Moderate or heavy rain shower,2022-07-27,330.0,1101.0,399,1145,wet
6,24,26,0.1,100.0,96.0,1012.0,14.0,22.0,243.3,05:30 AM,06:21 PM,06:39 AM,07:05 PM,Moderate or heavy rain shower,2022-07-27,330.0,1101.0,399,1145,wet
9,25,27,0.2,100.0,100.0,1014.0,15.0,25.0,245.1,05:30 AM,06:21 PM,06:39 AM,07:05 PM,Moderate or heavy rain shower,2022-07-27,330.0,1101.0,399,1145,wet
12,28,30,0.3,100.0,70.0,1014.0,17.0,28.0,233.2,05:30 AM,06:21 PM,06:39 AM,07:05 PM,Moderate or heavy rain shower,2022-07-27,330.0,1101.0,399,1145,wet
15,28,31,0.1,100.0,55.0,1011.0,22.0,32.0,223.0,05:30 AM,06:21 PM,06:39 AM,07:05 PM,Moderate or heavy rain shower,2022-07-27,330.0,1101.0,399,1145,wet
18,26,28,0.1,100.0,74.0,1011.0,23.0,32.0,235.0,05:30 AM,06:21 PM,06:39 AM,07:05 PM,Moderate or heavy rain shower,2022-07-27,330.0,1101.0,399,1145,wet
21,25,28,0.0,0.0,80.0,1013.0,18.0,26.0,245.9,05:30 AM,06:21 PM,06:39 AM,07:05 PM,Moderate or heavy rain shower,2022-07-27,330.0,1101.0,399,1145,wet
0,25,27,0.0,0.0,80.0,1013.0,15.0,23.0,231.4,04:39 AM,05:31 PM,06:39 AM,07:05 PM,Moderate rain at times,2022-07-26,279.0,1051.0,399,1145,wet
3,25,27,0.0,0.0,96.0,1012.0,14.0,21.0,247.6,04:39 AM,05:31 PM,06:39 AM,07:05 PM,Moderate rain at times,2022-07-26,279.0,1051.0,399,1145,wet
6,24,27,0.1,100.0,75.0,1012.0,10.0,21.0,248.2,04:39 AM,05:31 PM,06:39 AM,07:05 PM,Moderate rain at times,2022-07-26,279.0,1051.0,399,1145,wet
9,26,28,0.4,100.0,100.0,1014.0,18.0,24.0,237.9,04:39 AM,05:31 PM,06:39 AM,07:05 PM,Moderate rain at times,2022-07-26,279.0,1051.0,399,1145,wet
12,27,29,0.3,100.0,99.0,1013.0,22.0,27.0,233.7,04:39 AM,05:31 PM,06:39 AM,07:05 PM,Moderate rain at times,2022-07-26,279.0,1051.0,399,1145,wet
15,28,30,0.3,100.0,96.0,1011.0,23.0,33.0,230.9,04:39 AM,05:31 PM,06:39 AM,07:05 PM,Moderate rain at times,2022-07-26,279.0,1051.0,399,1145,wet
18,25,28,0.1,100.0,93.0,1011.0,22.0,31.0,237.4,04:39 AM,05:31 PM,06:39 AM,07:05 PM,Moderate rain at times,2022-07-26,279.0,1051.0,399,1145,wet
21,25,27,0.4,100.0,63.0,1013.0,20.0,28.0,245.8,04:39 AM,05:31 PM,06:39 AM,07:05 PM,Moderate rain at times,2022-07-26,279.0,1051.0,399,1145,wet
0,25,27,0.1,100.0,73.0,1014.0,12.0,19.0,246.8,03:49 AM,04:40 PM,06:39 AM,07:06 PM,Moderate rain at times,2022-07-25,229.0,1000.0,399,1146,wet
3,24,27,0.1,100.0,67.0,1013.0,13.0,21.0,256.9,03:49 AM,04:40 PM,06:39 AM,07:06 PM,Moderate rain at times,2022-07-25,229.0,1000.0,399,1146,wet
6,24,26,0.0,0.0,71.0,1013.0,11.0,17.0,272.8,03:49 AM,04:40 PM,06:39 AM,07:06 PM,Moderate rain at times,2022-07-25,229.0,1000.0,399,1146,wet
9,25,27,0.2,100.0,99.0,1015.0,12.0,20.0,274.4,03:49 AM,04:40 PM,06:39 AM,07:06 PM,Moderate rain at times,2022-07-25,229.0,1000.0,399,1146,wet
12,28,30,0.1,100.0,79.0,1014.0,13.0,21.0,242.4,03:49 AM,04:40 PM,06:39 AM,07:06 PM,Moderate rain at times,2022-07-25,229.0,1000.0,399,1146,wet
15,28,31,0.0,0.0,78.0,1011.0,20.0,27.0,221.6,03:49 AM,04:40 PM,06:39 AM,07:06 PM,Moderate rain at times,2022-07-25,229.0,1000.0,399,1146,wet
18,26,28,0.0,0.0,100.0,1011.0,20.0,28.0,215.7,03:49 AM,04:40 PM,06:39 AM,07:06 PM,Moderate rain at times,2022-07-25,229.0,1000.0,399,1146,wet
21,26,28,0.1,100.0,61.0,1013.0,18.0,25.0,217.1,03:49 AM,04:40 PM,06:39 AM,07:06 PM,Moderate rain at times,2022-07-25,229.0,1000.0,399,1146,wet
0,25,27,0.1,100.0,51.0,1013.0,10.0,16.0,230.9,03:01 AM,03:50 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-24,181.0,950.0,399,1146,wet
3,24,26,0.1,100.0,54.0,1012.0,9.0,14.0,212.7,03:01 AM,03:50 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-24,181.0,950.0,399,1146,wet
6,24,27,0.1,100.0,62.0,1013.0,8.0,13.0,234.5,03:01 AM,03:50 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-24,181.0,950.0,399,1146,wet
9,25,27,0.0,0.0,66.0,1015.0,5.0,7.0,258.8,03:01 AM,03:50 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-24,181.0,950.0,399,1146,wet
12,27,30,0.1,100.0,78.0,1014.0,4.0,12.0,176.1,03:01 AM,03:50 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-24,181.0,950.0,399,1146,wet
15,26,28,0.0,0.0,73.0,1012.0,5.0,15.0,194.3,03:01 AM,03:50 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-24,181.0,950.0,399,1146,wet
18,26,28,0.1,100.0,53.0,1012.0,12.0,21.0,213.4,03:01 AM,03:50 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-24,181.0,950.0,399,1146,wet
21,25,27,0.0,0.0,64.0,1013.0,13.0,20.0,225.2,03:01 AM,03:50 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-24,181.0,950.0,399,1146,wet
0,25,28,0.0,0.0,100.0,1013.0,16.0,24.0,225.0,02:16 AM,03:00 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-23,136.0,900.0,399,1146,wet
3,25,27,0.1,100.0,84.0,1012.0,13.0,19.0,239.0,02:16 AM,03:00 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-23,136.0,900.0,399,1146,wet
6,25,27,0.1,100.0,100.0,1013.0,13.0,20.0,247.3,02:16 AM,03:00 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-23,136.0,900.0,399,1146,wet
9,25,28,0.1,100.0,69.0,1013.0,13.0,18.0,248.9,02:16 AM,03:00 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-23,136.0,900.0,399,1146,wet
12,29,31,0.2,100.0,74.0,1013.0,19.0,23.0,221.0,02:16 AM,03:00 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-23,136.0,900.0,399,1146,wet
15,28,31,0.2,100.0,67.0,1011.0,23.0,27.0,215.5,02:16 AM,03:00 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-23,136.0,900.0,399,1146,wet
18,26,28,0.2,100.0,53.0,1012.0,19.0,31.0,209.3,02:16 AM,03:00 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-23,136.0,900.0,399,1146,wet
21,24,27,0.0,0.0,67.0,1013.0,16.0,20.0,204.5,02:16 AM,03:00 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-23,136.0,900.0,399,1146,wet
0,25,27,0.0,0.0,100.0,1013.0,15.0,22.0,219.2,01:33 AM,02:11 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-22,93.0,851.0,399,1146,wet
3,25,27,0.0,0.0,100.0,1012.0,15.0,22.0,222.0,01:33 AM,02:11 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-22,93.0,851.0,399,1146,wet
6,25,27,0.0,0.0,99.0,1012.0,12.0,18.0,238.3,01:33 AM,02:11 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-22,93.0,851.0,399,1146,wet
9,25,27,0.1,100.0,64.0,1013.0,11.0,21.0,245.3,01:33 AM,02:11 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-22,93.0,851.0,399,1146,wet
12,29,32,0.1,100.0,63.0,1013.0,16.0,18.0,216.6,01:33 AM,02:11 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-22,93.0,851.0,399,1146,wet
15,27,30,0.0,0.0,64.0,1011.0,20.0,28.0,213.3,01:33 AM,02:11 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-22,93.0,851.0,399,1146,wet
18,27,29,0.0,0.0,60.0,1011.0,19.0,26.0,219.9,01:33 AM,02:11 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-22,93.0,851.0,399,1146,wet
21,26,28,0.0,0.0,92.0,1013.0,17.0,24.0,220.1,01:33 AM,02:11 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-22,93.0,851.0,399,1146,wet
0,24,26,0.0,0.0,15.0,1013.0,15.0,24.0,227.6,12:51 AM,01:24 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-21,771.0,804.0,399,1146,wet
3,24,25,0.0,0.0,58.0,1012.0,13.0,21.0,240.6,12:51 AM,01:24 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-21,771.0,804.0,399,1146,wet
6,23,25,0.0,0.0,59.0,1013.0,12.0,18.0,252.7,12:51 AM,01:24 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-21,771.0,804.0,399,1146,wet
9,25,27,0.0,0.0,38.0,1014.0,16.0,24.0,252.1,12:51 AM,01:24 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-21,771.0,804.0,399,1146,wet
12,27,29,0.2,100.0,96.0,1014.0,13.0,23.0,230.7,12:51 AM,01:24 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-21,771.0,804.0,399,1146,wet
15,28,30,0.3,100.0,54.0,1011.0,18.0,29.0,210.8,12:51 AM,01:24 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-21,771.0,804.0,399,1146,wet
18,26,28,0.0,0.0,87.0,1011.0,19.0,25.0,211.8,12:51 AM,01:24 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-21,771.0,804.0,399,1146,wet
21,26,28,0.0,0.0,96.0,1013.0,17.0,23.0,216.8,12:51 AM,01:24 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-21,771.0,804.0,399,1146,wet
0,24,26,0.0,0.0,48.0,1014.0,15.0,24.0,233.2,12:10 AM,12:37 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-20,730.0,1477.0,399,1146,wet
3,24,26,0.0,0.0,74.0,1012.0,15.0,23.0,233.5,12:10 AM,12:37 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-20,730.0,1477.0,399,1146,wet
6,24,25,0.0,0.0,97.0,1014.0,12.0,18.0,245.3,12:10 AM,12:37 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-20,730.0,1477.0,399,1146,wet
9,24,26,0.1,100.0,83.0,1015.0,12.0,23.0,239.4,12:10 AM,12:37 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-20,730.0,1477.0,399,1146,wet
12,25,27,0.2,100.0,89.0,1015.0,15.0,25.0,228.6,12:10 AM,12:37 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-20,730.0,1477.0,399,1146,wet
15,27,28,0.1,100.0,89.0,1013.0,18.0,28.0,224.2,12:10 AM,12:37 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-20,730.0,1477.0,399,1146,wet
18,26,27,0.2,100.0,55.0,1013.0,19.0,27.0,227.2,12:10 AM,12:37 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-20,730.0,1477.0,399,1146,wet
21,24,26,0.0,0.0,70.0,1014.0,15.0,23.0,231.3,12:10 AM,12:37 PM,06:39 AM,07:06 PM,Patchy rain possible,2022-07-20,730.0,1477.0,399,1146,wet
0,25,27,0.0,0.0,45.0,1015.0,17.0,26.0,221.0,No moonrise,11:51 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-19,,711.0,398,1146,wet
3,25,26,0.0,0.0,36.0,1014.0,15.0,23.0,234.7,No moonrise,11:51 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-19,,711.0,398,1146,wet
6,24,26,0.1,100.0,58.0,1014.0,15.0,23.0,240.8,No moonrise,11:51 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-19,,711.0,398,1146,wet
9,26,28,0.2,100.0,55.0,1016.0,17.0,27.0,233.7,No moonrise,11:51 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-19,,711.0,398,1146,wet
12,27,29,0.4,100.0,99.0,1015.0,18.0,27.0,218.3,No moonrise,11:51 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-19,,711.0,398,1146,wet
15,27,29,0.1,100.0,77.0,1013.0,21.0,31.0,218.3,No moonrise,11:51 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-19,,711.0,398,1146,wet
18,26,28,0.0,0.0,36.0,1012.0,21.0,28.0,222.2,No moonrise,11:51 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-19,,711.0,398,1146,wet
21,25,27,0.0,0.0,59.0,1014.0,18.0,26.0,223.1,No moonrise,11:51 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-19,,711.0,398,1146,wet
0,24,26,0.0,0.0,68.0,1016.0,14.0,22.0,224.0,11:29 PM,11:02 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-18,1409.0,662.0,398,1146,wet
3,24,26,0.0,0.0,77.0,1014.0,14.0,22.0,234.4,11:29 PM,11:02 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-18,1409.0,662.0,398,1146,wet
6,24,26,0.2,100.0,70.0,1015.0,12.0,19.0,252.2,11:29 PM,11:02 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-18,1409.0,662.0,398,1146,wet
9,25,27,0.1,100.0,71.0,1016.0,13.0,18.0,239.7,11:29 PM,11:02 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-18,1409.0,662.0,398,1146,wet
12,28,30,0.1,100.0,88.0,1016.0,15.0,23.0,219.3,11:29 PM,11:02 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-18,1409.0,662.0,398,1146,wet
15,27,29,0.0,0.0,80.0,1014.0,19.0,30.0,218.8,11:29 PM,11:02 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-18,1409.0,662.0,398,1146,wet
18,26,28,0.0,0.0,44.0,1013.0,21.0,33.0,222.8,11:29 PM,11:02 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-18,1409.0,662.0,398,1146,wet
21,25,27,0.0,0.0,24.0,1014.0,17.0,26.0,228.5,11:29 PM,11:02 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-18,1409.0,662.0,398,1146,wet
0,25,27,0.1,100.0,82.0,1013.0,18.0,27.0,223.8,10:45 PM,10:11 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-17,1365.0,611.0,398,1146,wet
3,24,26,0.1,100.0,97.0,1013.0,15.0,23.0,234.1,10:45 PM,10:11 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-17,1365.0,611.0,398,1146,wet
6,24,26,0.1,100.0,87.0,1013.0,15.0,23.0,237.9,10:45 PM,10:11 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-17,1365.0,611.0,398,1146,wet
9,25,27,0.1,100.0,88.0,1015.0,18.0,24.0,230.8,10:45 PM,10:11 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-17,1365.0,611.0,398,1146,wet
12,26,29,0.1,100.0,90.0,1015.0,18.0,30.0,225.1,10:45 PM,10:11 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-17,1365.0,611.0,398,1146,wet
15,26,28,0.0,0.0,98.0,1013.0,21.0,28.0,218.8,10:45 PM,10:11 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-17,1365.0,611.0,398,1146,wet
18,25,28,0.0,0.0,82.0,1013.0,19.0,26.0,220.3,10:45 PM,10:11 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-17,1365.0,611.0,398,1146,wet
21,25,27,0.0,0.0,77.0,1015.0,18.0,26.0,221.4,10:45 PM,10:11 AM,06:38 AM,07:06 PM,Patchy rain possible,2022-07-17,1365.0,611.0,398,1146,wet
0,24,27,0.0,0.0,75.0,1013.0,16.0,25.0,228.8,09:59 PM,09:17 AM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2022-07-16,1319.0,557.0,398,1146,wet
3,24,26,0.2,100.0,81.0,1012.0,13.0,21.0,235.9,09:59 PM,09:17 AM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2022-07-16,1319.0,557.0,398,1146,wet
6,24,26,0.0,0.0,85.0,1013.0,10.0,15.0,275.2,09:59 PM,09:17 AM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2022-07-16,1319.0,557.0,398,1146,wet
9,25,27,0.3,100.0,91.0,1015.0,12.0,16.0,267.2,09:59 PM,09:17 AM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2022-07-16,1319.0,557.0,398,1146,wet
12,27,30,0.1,100.0,74.0,1014.0,19.0,28.0,234.1,09:59 PM,09:17 AM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2022-07-16,1319.0,557.0,398,1146,wet
15,27,30,0.4,100.0,68.0,1012.0,22.0,27.0,224.9,09:59 PM,09:17 AM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2022-07-16,1319.0,557.0,398,1146,wet
